Caso;Actuación;Duración;Gestión;Fecha Límite
Caso Odebrecht – Ruta del Sol II (sobornos y otrosíes);Revocatoria de medida de aseguramiento;15;;2/10/2025 0:00
Semilleros de Ciencia – becas sin convocatoria pública (Bogotá, 2022);Audiencia de suspensión condicional del procedimiento (cuando procede);17;;7/11/2025 0:00
Ciclorruta Met – sobreprecios en señalética (AMVA, 2021);Variación de la calificación jurídica;20;;3/12/2025 0:00
Caso Colmenares (muerte de Luis A.  Colmenares, procesos y absoluciones);Control posterior de diligencias de policía judicial;20;;24/11/2025 0:00
Cartel de la Educación – PAE (manipulación de raciones);Legalización de captura;21;;5/10/2025 0:00
Vitalogic – Bucaramanga (contratación indebida de basuras);Corrección o adición de acusación;21;;6/12/2025 0:00
Cartel de la Seguridad Vial – contratos de señalización (investigado);Audiencia de sustitución de medida por brazalete electrónico;23;;28/10/2025 0:00
Estadio 2.0 – graderías sin norma sismorresistente (Atlántico, 2018);Aceptación de cargos;24;;27/10/2025 0:00
Cartel de las Ambulancias – Bogotá (traslados inflados);Audiencia de entrega de elementos materiales probatorios;27;;2/09/2025 0:00
Energía Limpia I – granja solar inconclusa (Guaviare, 2023);Audiencia de entrega de elementos materiales probatorios;28;;18/11/2025 0:00
Enilce López ‘La Gata’ (concierto para delinquir, chance);Audiencia de verificación de querella y desistimiento;29;;4/12/2025 0:00
Red de Alimentos – operadores del PAE coligados (Nariño, 2022);Exclusión de pruebas (ilegalidad/pertinencia);30;;5/12/2025 0:00
Vía al Mar II – atrasos por liberación predial (Sucre, 2021);Sustitución de medida de aseguramiento;30;;12/09/2025 0:00
Caso Interbolsa (colapso firma comisionista);Audiencia de verificación de preacuerdo con víctimas;30;;18/10/2025 0:00
Cartel del Aseo Urbano – ciudades intermedias (licitaciones direccionadas);Audiencia de cadena de custodia (control y controversia);31;;7/09/2025 0:00
Plan de Choque Vial – mezcla asfáltica no conforme (Córdoba, 2022);Acumulación procesal;31;;31/10/2025 0:00
Centro de Innovación – propiedad intelectual no cedida (Atlántico, 2023);Control de legalidad de incautaciones;31;;6/10/2025 0:00
Cartel de la Toga (corrupción en altas cortes);Exclusión de pruebas (ilegalidad/pertinencia);32;;13/09/2025 0:00
Clínica del Sur – contratación de hemoderivados inflada (Putumayo, 2021);Legalización de captura;32;;19/09/2025 0:00
Observatorio de Datos – plataforma sin interoperabilidad (Caldas, 2022);Acumulación procesal;32;;23/11/2025 0:00
Red de Catastro – actualización predial direccionada (Antioquia, 2023);Audiencia de verificación de preacuerdo con víctimas;32;;20/11/2025 0:00
Cartel de la Vivienda VIS – subsidios desviados (varias ciudades);Control de legalidad de allanamiento y registro;33;;22/09/2025 0:00
Alumbrado Festivo – prórrogas injustificadas (Córdoba, 2021);Legalización de captura;33;;1/11/2025 0:00
Cartel de los Blindados – compras estatales (sobreprecios);Variación de la calificación jurídica;33;;27/11/2025 0:00
Conexión Fluvial – dragado sin licencia de vertimientos (Magdalena, 2022);Exclusión de pruebas (ilegalidad/pertinencia);34;;23/09/2025 0:00
DMG – David Murcia Guzmán (piramidal);Audiencia de preacuerdo (verificación judicial);35;;18/10/2025 0:00
Vía del Litoral – actas de obra alteradas (Magdalena, 2019–2022);Control posterior de diligencias de policía judicial;35;;17/10/2025 0:00
Red de Plazas de Mercado – interventoría sin personal (Cauca, 2022);Audiencia de habeas corpus (control de libertad);37;;2/11/2025 0:00
Vías para la Paz – actas de recibo con metraje inflado (Caquetá, 2020);Nulidad en control de garantías;38;;5/09/2025 0:00
SIG Territorial – licencias GIS sin transferencia de conocimiento (Meta, 2022);Audiencia de verificación de preacuerdo con víctimas;39;;3/09/2025 0:00
Parques para Todos – obras inconclusas (Meta, 2018–2020);Sustitución por detención domiciliaria;39;;2/12/2025 0:00
Caso Dragacol (conciliaciones irregulares históricas);Audiencia de entrega de elementos materiales probatorios;40;;18/09/2025 0:00
Plataforma Tributaria – fallas críticas en puesta en producción (Cundinamarca, 2022);Audiencia de cadena de custodia (control y controversia);40;;20/10/2025 0:00
Telemedicina YA – equipos ociosos (Huila, 2021);Audiencia de preacuerdo (verificación judicial);41;;30/11/2025 0:00
Biblioteca Central – diseños incompletos (Cundinamarca, 2019);Audiencia de entrega de elementos materiales probatorios;41;;2/12/2025 0:00
Paso Elevado – modelo financiero irreal (Atlántico, 2021);Audiencia de control de términos (libertad por vencimiento);42;;18/11/2025 0:00
Conectividad Escolar – radios de enlace subdimensionados (Guainía, 2022);Solicitud e imposición de medida de aseguramiento;43;;19/09/2025 0:00
TEC-EDU – licencias de software educativo fantasma (Tolima, 2022);Revocatoria de medida de aseguramiento;44;;20/11/2025 0:00
Cartel de la Hemofilia – Córdoba (pagos a IPS por pacientes inexistentes);Corrección o adición de acusación;44;;28/10/2025 0:00
EcoTurismo – senderos sin licencia ambiental (Amazonas, 2019);Exclusión de pruebas (ilegalidad/pertinencia);44;;10/11/2025 0:00
Rondas Seguras – vigilancia privada sin prestación efectiva (Atlántico, 2021);Aceptación de cargos;44;;11/09/2025 0:00
Agro Ingreso Seguro – AIS (subsidios irregulares);Audiencia de formulación de acusación;45;;13/11/2025 0:00
Red de Cámaras – CCTV sin cobertura real (N. de Santander, 2020);Descubrimiento probatorio (verificación/incumplimiento);45;;5/12/2025 0:00
Malecón Turístico – cambio de diseños sin justificación (Casanare, 2019);Corrección o adición de acusación;46;;22/10/2025 0:00
Acueducto Metropolitano – pérdidas no técnicas no mitigadas (Valle, 2021);Legalización de captura;51;;19/11/2025 0:00
Colegio Campestre – interventoría simultánea incompatible (Risaralda, 2022);Audiencia de preacuerdo (verificación judicial);52;;16/11/2025 0:00
Centros Poblados – MinTIC (garantías falsas y anticipo);Control de legalidad de incautaciones;52;;16/11/2025 0:00
Escenarios Deportivos – certificaciones estructurales omitidas (Quindío, 2018);Variación de la calificación jurídica;52;;8/11/2025 0:00
Ciclo-Infra – estudios de tránsito desactualizados (Antioquia, 2020);Audiencia de revocatoria de libertad por incumplimiento de obligaciones;53;;11/10/2025 0:00
Colegio del Futuro – interventorías duplicadas (Cundinamarca, 2020);Audiencia de sustitución de medida por brazalete electrónico;54;;28/09/2025 0:00
Tránsito Eficiente – contratación semafórica (Valle del Cauca, 2020);Control de legalidad de allanamiento y registro;55;;21/11/2025 0:00
Buen Puerto – sobrecostos en dragado (Bolívar, 2021);Exclusión de pruebas (ilegalidad/pertinencia);55;;13/09/2025 0:00
Red Semilleros TIC – contratos de formación sin ejecución (Arauca, 2022);Variación de la calificación jurídica;56;;6/12/2025 0:00
Puente del Río Norte – adiciones sucesivas sin soporte (Santander, 2019–2021);Audiencia de cadena de custodia (control y controversia);58;;14/11/2025 0:00
Río Limpio – plantas de tratamiento sin insumos (Magdalena, 2020);Descubrimiento probatorio (verificación/incumplimiento);59;;21/11/2025 0:00
Bosques Urbanos – siembra y mortalidad de plántulas (Santander, 2022);Variación de la calificación jurídica;59;;25/09/2025 0:00
Placa Huella Rural – especificaciones cambiadas en obra (Cauca, 2021);Revocatoria de medida de aseguramiento;65;;12/11/2025 0:00
Caso Ruta del Sol III – controversias contractuales derivadas (asociado a Odebrecht);Aprobación de principio de oportunidad;66;;25/10/2025 0:00
Vía Anillo Cafetero – ítems de obra no ejecutados (Eje Cafetero, 2020);Exclusión de pruebas (ilegalidad/pertinencia);66;;1/10/2025 0:00
Terminal Multimodal – interventoría con conflicto de interés (Antioquia, 2019);Ruptura de la unidad procesal;66;;5/12/2025 0:00
Canchas Sintéticas – gramilla fuera de especificación (Eje Cafetero, 2021);Audiencia de habeas corpus (control de libertad);66;;5/10/2025 0:00
Vivienda Digna – selección de beneficiarios amañada (Sucre, 2021);Prueba anticipada;66;;3/09/2025 0:00
Caso Nicolás Petro – enriquecimiento ilícito y lavado (en juicio);Ruptura de la unidad procesal;67;;11/09/2025 0:00
Cartel del Soat – reclamaciones médicas fraudulentas;Control de legalidad de interceptaciones;67;;7/10/2025 0:00
Cartel del Contrabando de cigarrillos – Costa Caribe (investigaciones fiscales);Audiencia de habeas corpus (control de libertad);68;;26/11/2025 0:00
Parques Lineales – sobreprecios en mobiliario urbano (Santander, 2023);Formulación de imputación;68;;21/11/2025 0:00
Frontera Segura – contrabando de hidrocarburos (La Guajira, 2022);Audiencia de control de términos (libertad por vencimiento);68;;16/11/2025 0:00
Hospital Digital – tele-UCI sin conectividad (Chocó, 2021);Control de legalidad de interceptaciones;69;;16/09/2025 0:00
Red de Museos – vitrinas y climatización sin garantía (Bogotá, 2021);Exclusión de pruebas (ilegalidad/pertinencia);70;;31/10/2025 0:00
Recuperación de Cuencas – monitoreo hidrológico inexistente (Huila, 2022);Solicitud e imposición de medida de aseguramiento;71;;23/11/2025 0:00
Cultura en Casa – contratación artística fraccionada (Córdoba, 2020);Audiencia de conciliación en delitos querellables;71;;19/11/2025 0:00
Rafael Uribe Noguera – feminicidio Yuliana Samboní (condena);Audiencia de revocatoria de libertad por incumplimiento de obligaciones;72;;16/11/2025 0:00
Caso Álvaro Uribe – soborno a testigos y fraude procesal (proceso penal);Exclusión de pruebas (ilegalidad/pertinencia);73;;28/11/2025 0:00
Acueducto Rural – carrotanques subutilizados (Cesar, 2024);Control de legalidad de allanamiento y registro;76;;3/12/2025 0:00
Comedores Comunitarios – raciones no entregadas (Bogotá, 2021);Sustitución de medida de aseguramiento;77;;6/11/2025 0:00
Red de Innovación – consultorías clonadas (Bogotá, 2023);Solicitud e imposición de medida de aseguramiento;78;;28/09/2025 0:00
Bibliotecas Digitales – licencias duplicadas (Risaralda, 2020);Audiencia de formulación de acusación;79;;7/11/2025 0:00
Albergues Temporales – capacidad no instalada (Arauca, 2023);Sustitución de medida de aseguramiento;80;;4/10/2025 0:00
Proceso 8000 (financiación ilícita de campaña);Exclusión de pruebas (ilegalidad/pertinencia);82;;27/11/2025 0:00
UNGRD – carrotanques La Guajira (red de sobornos y sobrecostos);Nulidad en control de garantías;88;;25/10/2025 0:00
Cartel de la Chatarra – Bogotá (devoluciones irregulares de IVA);Formulación de imputación;89;;17/10/2025 0:00
Mercados Solidarios – ayudas COVID-19 (Bogotá, 2020);Formulación de imputación;89;;16/10/2025 0:00
Aída Merlano – compra de votos y fuga;Acumulación procesal;89;;4/09/2025 0:00
Reficar (sobrecostos y fallas de control);Control posterior de diligencias de policía judicial;90;;16/10/2025 0:00
Transporte Escolar – rutas fantasma (La Guajira, 2019);Nulidad en control de garantías;91;;1/12/2025 0:00
Cartel de las Pensiones – manipulación de bonos pensionales;Audiencia preparatoria;95;;20/11/2025 0:00
Parque Tecnológico – comodatos en conflicto (Risaralda, 2021);Audiencia preparatoria;97;;14/11/2025 0:00
Red de Puentes – pruebas de carga omitidas (Boyacá, 2018);Prueba anticipada;103;;20/10/2025 0:00
Tecnología Cívica – apps sin soporte ni mantenimiento (Valle, 2023);Descubrimiento probatorio (verificación/incumplimiento);106;;8/10/2025 0:00
Malla Vial Urbana – reciclaje de mezcla asfáltica fraudulento (Caldas, 2019);Audiencia de formulación de acusación;107;;28/10/2025 0:00
Hospital Verde – dotación hospitalaria con sobrecostos (Chocó, 2021);Audiencia de sustitución de medida por brazalete electrónico;109;;28/11/2025 0:00
Planta de Residuos – incumplimientos del operador (Santander, 2023);Prueba anticipada;113;;30/11/2025 0:00
Mercados Campesinos – logística subcontratada sin entregables (Cauca, 2021);Audiencia preparatoria;118;;27/11/2025 0:00
Hidroituango – responsabilidad fiscal CGR;Prueba anticipada;119;;23/10/2025 0:00
Metrópoli Verde – zonas verdes tercerizadas sin mantenimiento (Valle, 2022);Prueba anticipada;125;;1/11/2025 0:00
Agua para la Vereda – plantas de tratamiento inoperantes (N.  de Santander, 2023);Audiencia de sustitución de medida por brazalete electrónico;145;;16/10/2025 0:00
Jardines Infantiles – contratos cruzados con fundaciones (Nariño, 2020);Audiencia de control de términos (libertad por vencimiento);169;;9/11/2025 0:00
Ruta Biosegura – compras de EPP con sobrecostos (Bolívar, 2020);Audiencia de suspensión condicional del procedimiento (cuando procede);174;;1/12/2025 0:00
Zona Franca Logística – incentivos sin contraprestación (Bolívar, 2019);Audiencia de control de términos (libertad por vencimiento);174;;7/12/2025 0:00
Cárcel Modelo Regional – incumplimientos de cronograma (Boyacá, 2019);Audiencia de revocatoria de libertad por incumplimiento de obligaciones;176;;8/09/2025 0:00
